Date,Demand
18-08-02,20248
18-08-02,20346
18-08-02,20009
18-08-02,18651
18-08-02,17187
18-08-02,15821
18-08-03,14942
18-08-03,14148
18-08-03,13691
18-08-03,13541
18-08-03,14099
18-08-03,14794
18-08-03,15919
18-08-03,16874
18-08-03,17592
18-08-03,18447
18-08-03,18964
18-08-03,19522
18-08-03,19902
18-08-03,20324
18-08-03,20457
18-08-03,20606
18-08-03,20910
18-08-03,20868
18-08-03,20657
18-08-03,20017
18-08-03,19849
18-08-03,18590
18-08-03,17058
18-08-03,15719
18-08-04,14863
18-08-04,14251
18-08-04,13730
18-08-04,13465
18-08-04,13470
18-08-04,13582
18-08-04,14215
18-08-04,15535
18-08-04,16730
18-08-04,17602
18-08-04,18289
18-08-04,18829
18-08-04,19155
18-08-04,19192
18-08-04,19293
