Date,HOEP
18-05-26,30.51
18-05-26,34.74
18-05-26,35.44
18-05-26,32.32
18-05-26,28.81
18-05-26,48.34
18-05-26,15.23
18-05-26,13.28
18-05-26,9.61
18-05-26,5.46
18-05-27,5.71
18-05-27,5.95
18-05-27,5.85
18-05-27,5.76
18-05-27,5.73
18-05-27,0
18-05-27,3.83
18-05-27,4.77
18-05-27,12.71
18-05-27,12.07
18-05-27,10.3
18-05-27,22.38
18-05-27,12.17
18-05-27,15.23
18-05-27,29.6
18-05-27,34.84
18-05-27,37.01
18-05-27,38.26
18-05-27,34.36
18-05-27,23.6
18-05-27,17.74
18-05-27,12.29
18-05-27,9.47
18-05-27,8.93
18-05-28,6.58
18-05-28,5.91
18-05-28,5.7
18-05-28,0
18-05-28,-0.75
18-05-28,4.34
18-05-28,22.97
18-05-28,22.92
18-05-28,22.27
18-05-28,23.73
18-05-28,29.95
18-05-28,35.79
18-05-28,35.8
18-05-28,35.98
18-05-28,33.56
18-05-28,37.89
18-05-28,47.7
18-05-28,48.97
18-05-28,38.14
18-05-28,37.52
18-05-28,36.85
18-05-28,29.06
18-05-28,25.89
18-05-28,15.98
18-05-29,9.24
18-05-29,-2.03
18-05-29,2.41
18-05-29,6.59
18-05-29,5.36
18-05-29,0.47
18-05-29,16.14
18-05-29,35.62
18-05-29,32.41
18-05-29,34.29
18-05-29,35.73
18-05-29,36.23
18-05-29,36.87
18-05-29,37.28
18-05-29,107.15
18-05-29,270.92
18-05-29,148.9
18-05-29,69.66
18-05-29,33.02
18-05-29,28.36
18-05-29,19.02
18-05-29,1.94
